,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
0,2,1,2,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,-18
1,1,7,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,159
2,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,80
3,1,6,8,0,0,0,1,3,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,0,0,1,23
4,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,44
5,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,42
6,1,1,1,0,0,1,1,2,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,32
7,1,9,9,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
8,1,14,16,0,0,3,1,1,0,12,10,9,9,1,4,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,0,-26
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10,1,6,2,2,0,0,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,64
11,2,4,4,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6
12,1,52,26,3,1,5,4,5,7,18,6,17,4,6,2,0,0,0,0,0,0,0,0,1,4,16,11,2,3,0,0,974
