,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
0,1,23,4,0,0,4,1,0,0,11,4,3,3,5,1,0,0,0,0,0,0,0,0,0,0,15,5,4,1,0,0,537
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,464
4,1,7,4,0,0,1,1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,3,2,1,0,0,97
5,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
6,1,21,7,0,0,2,0,4,2,8,0,3,0,9,4,0,0,0,0,0,0,0,0,0,0,14,5,2,0,0,0,689
7,1,3,1,0,0,1,1,2,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,106
8,2,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
9,1,24,0,2,0,2,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,928
10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
11,1,27,10,1,0,1,0,0,0,9,6,7,6,4,6,0,0,0,0,0,0,0,0,3,0,11,3,2,0,0,0,427
12,1,6,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,176
13,1,28,29,0,0,5,5,3,3,13,30,7,22,11,6,1,0,0,0,0,0,0,0,0,0,46,27,7,7,0,0,120
14,2,11,2,0,0,3,1,2,1,9,3,6,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,258
15,1,3,2,0,0,2,2,4,2,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,64
16,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
17,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,44
18,1,3,1,0,0,1,1,3,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2,3,1,0,0,60
19,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35
20,1,55,29,0,0,6,2,2,0,26,17,20,15,14,9,0,0,0,0,0,0,0,0,0,0,9,3,7,2,19,8,549
21,1,36,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1796
22,1,24,6,0,0,2,0,4,0,14,4,8,2,5,3,0,0,0,0,0,0,0,0,2,0,18,6,8,0,2,0,672
23,1,18,1,0,0,2,0,0,0,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,0,417
24,1,3,4,0,0,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,1,25,56,0,1,4,6,2,3,13,31,9,20,7,26,0,0,0,0,0,0,0,0,1,0,20,20,1,5,7,25,-962
